Employee_ID,Stress_Level,Hours_Worked_Per_Week,Sleep_Quality,Social_Isolation_Rating,Work_Life_Balance_Rating,Productivity_Change,Emotional_Exhaustion,Depersonalization,Reduced_Personal_Accomplishment,Burnout_Score
EMP0041,High,44,Poor,1,4,Decrease,0.8,0.125,1.0,0.6416666666666667
EMP0042,Low,29,Good,1,2,No Change,0.11250000000000004,0.375,0.5,0.32916666666666666
EMP0043,High,58,Poor,3,3,Increase,0.9750000000000001,0.5,0.0,0.4916666666666667
EMP0044,Medium,53,Average,1,4,No Change,0.6625000000000001,0.125,0.5,0.4291666666666667
EMP0045,High,23,Good,5,3,No Change,0.03750000000000003,0.75,0.5,0.4291666666666667
EMP0046,Medium,42,Poor,2,2,No Change,0.775,0.5,0.5,0.5916666666666667
EMP0047,Medium,35,Good,1,1,Decrease,0.1875,0.5,1.0,0.5625
EMP0048,High,39,Good,1,5,Decrease,0.23750000000000004,0.0,1.0,0.41250000000000003
EMP0049,Low,29,Poor,2,4,Increase,0.6125,0.25,0.0,0.28750000000000003
EMP0050,Medium,37,Average,1,4,No Change,0.4625,0.125,0.5,0.3625
EMP0051,High,28,Good,5,4,Decrease,0.10000000000000003,0.625,1.0,0.5750000000000001
EMP0052,Low,31,Good,4,5,Decrease,0.1375,0.375,1.0,0.5041666666666667
EMP0053,Medium,26,Good,2,3,Decrease,0.07500000000000001,0.375,1.0,0.48333333333333334
EMP0054,Medium,46,Average,1,2,No Change,0.5750000000000001,0.375,0.5,0.4833333333333334
EMP0055,Medium,55,Poor,4,1,Decrease,0.9375,0.875,1.0,0.9375
EMP0056,Low,47,Good,3,3,Increase,0.3375,0.5,0.0,0.2791666666666667
EMP0057,Low,48,Good,4,5,Increase,0.3500000000000001,0.375,0.0,0.2416666666666667
EMP0058,Low,49,Average,4,5,No Change,0.6125,0.375,0.5,0.49583333333333335
EMP0059,Low,51,Average,2,1,Decrease,0.6375000000000001,0.625,1.0,0.7541666666666668
EMP0060,Medium,57,Poor,1,2,No Change,0.9625,0.375,0.5,0.6124999999999999
EMP0061,Medium,33,Good,1,4,No Change,0.16250000000000003,0.125,0.5,0.2625
EMP0062,Medium,30,Good,5,2,Increase,0.125,0.875,0.0,0.3333333333333333
EMP0063,Medium,28,Poor,3,3,No Change,0.6000000000000001,0.5,0.5,0.5333333333333333
EMP0064,Medium,31,Good,2,3,No Change,0.1375,0.375,0.5,0.33749999999999997
EMP0065,Medium,37,Good,2,4,No Change,0.21250000000000002,0.25,0.5,0.32083333333333336
EMP0066,Medium,31,Poor,4,4,Increase,0.6375,0.5,0.0,0.37916666666666665
EMP0067,Medium,46,Good,3,1,Increase,0.32500000000000007,0.75,0.0,0.3583333333333334
EMP0068,High,20,Poor,3,2,Decrease,0.5,0.625,1.0,0.7083333333333334
EMP0069,High,51,Average,3,2,Decrease,0.6375000000000001,0.625,1.0,0.7541666666666668
EMP0070,Low,28,Good,5,2,No Change,0.10000000000000003,0.875,0.5,0.4916666666666667
EMP0071,Medium,39,Average,4,4,Increase,0.48750000000000004,0.5,0.0,0.32916666666666666
EMP0072,Medium,29,Average,2,1,No Change,0.36250000000000004,0.625,0.5,0.49583333333333335
EMP0073,High,30,Good,2,5,No Change,0.125,0.125,0.5,0.25
EMP0074,High,53,Poor,1,3,Decrease,0.9125000000000001,0.25,1.0,0.7208333333333333
EMP0075,Medium,57,Poor,3,2,No Change,0.9625,0.625,0.5,0.6958333333333333
EMP0076,High,49,Good,4,5,No Change,0.36250000000000004,0.375,0.5,0.41250000000000003
EMP0077,High,55,Good,1,4,No Change,0.4375,0.125,0.5,0.3541666666666667
EMP0078,Medium,37,Average,1,5,No Change,0.4625,0.0,0.5,0.32083333333333336
EMP0079,High,51,Average,2,2,Increase,0.6375000000000001,0.5,0.0,0.3791666666666667
EMP0080,Low,21,Average,4,5,No Change,0.2625,0.375,0.5,0.37916666666666665
EMP0081,High,21,Poor,4,3,Decrease,0.5125,0.625,1.0,0.7125
EMP0082,High,44,Poor,3,4,Increase,0.8,0.375,0.0,0.39166666666666666
EMP0083,High,26,Good,5,3,Increase,0.07500000000000001,0.75,0.0,0.27499999999999997
EMP0084,High,43,Poor,5,4,Increase,0.7875,0.625,0.0,0.4708333333333334
EMP0085,Low,42,Good,2,4,Decrease,0.275,0.25,1.0,0.5083333333333333
EMP0086,Low,44,Poor,2,4,No Change,0.8,0.25,0.5,0.5166666666666667
EMP0087,Low,27,Poor,1,1,Decrease,0.5875,0.5,1.0,0.6958333333333333
EMP0088,Medium,43,Poor,2,1,Increase,0.7875,0.625,0.0,0.4708333333333334
EMP0089,High,38,Poor,5,5,Increase,0.7250000000000001,0.5,0.0,0.4083333333333334
EMP0090,Low,38,Poor,5,4,Increase,0.7250000000000001,0.625,0.0,0.45
EMP0091,Medium,57,Average,4,4,No Change,0.7125,0.5,0.5,0.5708333333333333
EMP0092,High,60,Good,3,1,Decrease,0.5,0.75,1.0,0.75
EMP0093,Medium,29,Poor,3,5,Increase,0.6125,0.25,0.0,0.28750000000000003
EMP0094,High,54,Average,2,4,Decrease,0.675,0.25,1.0,0.6416666666666667
EMP0095,High,31,Average,2,5,Decrease,0.3875,0.125,1.0,0.5041666666666667
EMP0096,Low,54,Good,1,5,Decrease,0.42500000000000004,0.0,1.0,0.47500000000000003
EMP0097,High,33,Poor,5,1,Decrease,0.6625000000000001,1.0,1.0,0.8875000000000001
EMP0098,Low,25,Average,4,4,Increase,0.3125,0.5,0.0,0.2708333333333333
EMP0099,Low,21,Good,4,1,No Change,0.012500000000000011,0.875,0.5,0.46249999999999997
EMP0100,Medium,45,Good,3,2,Decrease,0.3125,0.625,1.0,0.6458333333333334
EMP0101,Medium,53,Poor,5,1,Increase,0.9125000000000001,1.0,0.0,0.6375000000000001
EMP0102,High,46,Poor,2,1,Increase,0.8250000000000001,0.625,0.0,0.4833333333333334
EMP0103,High,22,Good,4,4,No Change,0.025000000000000022,0.5,0.5,0.3416666666666666
EMP0104,High,60,Good,4,4,Increase,0.5,0.5,0.0,0.3333333333333333
EMP0105,Low,42,Average,4,4,Decrease,0.525,0.5,1.0,0.6749999999999999
EMP0106,High,60,Good,3,3,Increase,0.5,0.5,0.0,0.3333333333333333
EMP0107,Medium,35,Good,4,1,Decrease,0.1875,0.875,1.0,0.6875
EMP0108,High,44,Poor,2,2,Decrease,0.8,0.5,1.0,0.7666666666666666
EMP0109,Medium,50,Poor,1,4,No Change,0.875,0.125,0.5,0.5
EMP0110,Low,22,Good,1,5,No Change,0.025000000000000022,0.0,0.5,0.17500000000000002
EMP0111,High,29,Average,5,3,Increase,0.36250000000000004,0.75,0.0,0.37083333333333335
EMP0112,Low,34,Good,5,5,Decrease,0.17500000000000004,0.5,1.0,0.5583333333333333
EMP0113,Low,30,Poor,1,1,Increase,0.625,0.5,0.0,0.375
EMP0114,Low,53,Poor,1,3,Decrease,0.9125000000000001,0.25,1.0,0.7208333333333333
EMP0115,High,29,Poor,5,2,No Change,0.6125,0.875,0.5,0.6625
EMP0116,Medium,27,Good,3,3,No Change,0.08750000000000002,0.5,0.5,0.3625
EMP0117,Medium,44,Good,5,3,Increase,0.30000000000000004,0.75,0.0,0.35000000000000003
EMP0118,High,42,Good,5,2,Increase,0.275,0.875,0.0,0.3833333333333333
EMP0119,Medium,22,Average,5,2,Increase,0.275,0.875,0.0,0.3833333333333333
EMP0120,Medium,34,Average,2,2,Decrease,0.42500000000000004,0.5,1.0,0.6416666666666667
EMP0121,High,51,Average,2,2,Decrease,0.6375000000000001,0.5,1.0,0.7125
EMP0122,High,48,Good,2,5,No Change,0.3500000000000001,0.125,0.5,0.325
EMP0123,High,30,Good,3,2,No Change,0.125,0.625,0.5,0.4166666666666667
EMP0124,Low,59,Average,1,2,Increase,0.7375,0.375,0.0,0.37083333333333335
EMP0125,High,26,Average,1,2,No Change,0.325,0.375,0.5,0.39999999999999997
EMP0126,Low,60,Average,5,3,Increase,0.75,0.75,0.0,0.5
EMP0127,Medium,38,Good,2,2,Decrease,0.22500000000000003,0.5,1.0,0.5750000000000001
EMP0128,High,34,Average,2,5,Decrease,0.42500000000000004,0.125,1.0,0.5166666666666667
EMP0129,Medium,46,Poor,2,4,No Change,0.8250000000000001,0.25,0.5,0.525
EMP0130,Low,35,Average,5,3,Decrease,0.4375,0.75,1.0,0.7291666666666666
EMP0131,Medium,23,Good,5,1,No Change,0.03750000000000003,1.0,0.5,0.5125000000000001
EMP0132,Low,28,Average,2,5,Increase,0.35000000000000003,0.125,0.0,0.15833333333333335
EMP0133,Medium,57,Good,4,3,No Change,0.4625,0.625,0.5,0.5291666666666667
EMP0134,Low,29,Good,4,1,Decrease,0.11250000000000004,0.875,1.0,0.6625
EMP0135,Medium,39,Poor,5,4,Increase,0.7375,0.625,0.0,0.45416666666666666
EMP0136,Medium,46,Good,4,5,Increase,0.32500000000000007,0.375,0.0,0.23333333333333336
EMP0137,High,26,Good,4,2,No Change,0.07500000000000001,0.75,0.5,0.44166666666666665
EMP0138,Medium,32,Poor,5,4,No Change,0.65,0.625,0.5,0.5916666666666667
EMP0139,High,30,Poor,3,3,Increase,0.625,0.5,0.0,0.375
EMP0140,Low,48,Average,5,5,Decrease,0.6000000000000001,0.5,1.0,0.7000000000000001
EMP0141,High,44,Poor,1,1,Decrease,0.8,0.5,1.0,0.7666666666666666
EMP0142,Low,49,Poor,5,5,Decrease,0.8625,0.5,1.0,0.7875
EMP0143,High,23,Poor,2,5,No Change,0.5375000000000001,0.125,0.5,0.3875
EMP0144,Low,33,Good,4,5,No Change,0.16250000000000003,0.375,0.5,0.3458333333333334
EMP0145,High,35,Average,4,5,No Change,0.4375,0.375,0.5,0.4375
EMP0146,Medium,41,Poor,4,3,Decrease,0.7625000000000001,0.625,1.0,0.7958333333333334
EMP0147,Low,34,Average,4,2,Increase,0.42500000000000004,0.75,0.0,0.39166666666666666
EMP0148,Low,44,Average,1,1,No Change,0.55,0.5,0.5,0.5166666666666667
EMP0149,High,52,Good,3,4,Decrease,0.4,0.375,1.0,0.5916666666666667
EMP0150,Low,57,Good,1,2,Decrease,0.4625,0.375,1.0,0.6124999999999999
EMP0151,High,32,Average,2,3,Decrease,0.4,0.375,1.0,0.5916666666666667
EMP0152,Low,31,Poor,3,4,No Change,0.6375,0.375,0.5,0.5041666666666667
EMP0153,Medium,58,Poor,2,1,Increase,0.9750000000000001,0.625,0.0,0.5333333333333333
EMP0154,Medium,26,Poor,2,1,No Change,0.575,0.625,0.5,0.5666666666666667
EMP0155,Low,57,Average,2,1,No Change,0.7125,0.625,0.5,0.6124999999999999
EMP0156,Low,20,Good,4,1,Decrease,0.0,0.875,1.0,0.625
EMP0157,High,26,Average,1,4,Decrease,0.325,0.125,1.0,0.48333333333333334
EMP0158,High,43,Good,4,3,No Change,0.2875,0.625,0.5,0.4708333333333334
EMP0159,Low,50,Average,1,3,Increase,0.625,0.25,0.0,0.2916666666666667
EMP0160,High,52,Good,2,5,Increase,0.4,0.125,0.0,0.17500000000000002
EMP0161,Medium,37,Average,2,4,Decrease,0.4625,0.25,1.0,0.5708333333333333
EMP0162,High,38,Average,4,3,No Change,0.47500000000000003,0.625,0.5,0.5333333333333333
EMP0163,High,55,Poor,1,1,Increase,0.9375,0.5,0.0,0.4791666666666667
EMP0164,Medium,53,Average,3,1,Increase,0.6625000000000001,0.75,0.0,0.4708333333333334
EMP0165,Medium,20,Good,5,1,Increase,0.0,1.0,0.0,0.3333333333333333
EMP0166,Low,46,Poor,1,2,Increase,0.8250000000000001,0.375,0.0,0.4000000000000001
EMP0167,Low,30,Average,3,2,No Change,0.375,0.625,0.5,0.5
EMP0168,High,50,Poor,3,2,No Change,0.875,0.625,0.5,0.6666666666666666
EMP0169,Medium,50,Average,3,2,No Change,0.625,0.625,0.5,0.5833333333333334
EMP0170,Low,50,Poor,5,1,Increase,0.875,1.0,0.0,0.625
EMP0171,Low,23,Poor,4,1,Increase,0.5375000000000001,0.875,0.0,0.4708333333333334
EMP0172,Medium,45,Good,3,4,Decrease,0.3125,0.375,1.0,0.5625
EMP0173,Medium,25,Good,4,1,No Change,0.0625,0.875,0.5,0.4791666666666667
EMP0174,High,36,Good,1,2,Increase,0.2,0.375,0.0,0.19166666666666665
EMP0175,Low,60,Good,3,2,Decrease,0.5,0.625,1.0,0.7083333333333334
EMP0176,Low,35,Average,5,3,No Change,0.4375,0.75,0.5,0.5625
EMP0177,Medium,55,Good,5,3,No Change,0.4375,0.75,0.5,0.5625
EMP0178,Medium,47,Good,3,1,Decrease,0.3375,0.75,1.0,0.6958333333333333
EMP0179,High,57,Good,4,4,Increase,0.4625,0.5,0.0,0.32083333333333336
EMP0180,Medium,22,Good,3,2,Decrease,0.025000000000000022,0.625,1.0,0.5499999999999999
EMP0181,Medium,43,Poor,5,1,Decrease,0.7875,1.0,1.0,0.9291666666666667
EMP0182,Low,45,Good,4,5,Decrease,0.3125,0.375,1.0,0.5625
EMP0183,Low,56,Average,4,2,Increase,0.7000000000000001,0.75,0.0,0.4833333333333334
EMP0184,High,46,Good,3,3,No Change,0.32500000000000007,0.5,0.5,0.4416666666666667
EMP0185,Medium,60,Good,1,5,Decrease,0.5,0.0,1.0,0.5
EMP0186,Medium,32,Average,1,1,No Change,0.4,0.5,0.5,0.4666666666666666
EMP0187,Medium,59,Average,5,5,Decrease,0.7375,0.5,1.0,0.7458333333333332
EMP0188,High,60,Good,5,5,No Change,0.5,0.5,0.5,0.5
EMP0189,High,43,Average,2,5,No Change,0.5375,0.125,0.5,0.3875
EMP0190,Low,33,Poor,4,1,No Change,0.6625000000000001,0.875,0.5,0.6791666666666667
EMP0191,Low,20,Average,5,3,Decrease,0.25,0.75,1.0,0.6666666666666666
EMP0192,Medium,27,Poor,4,1,No Change,0.5875,0.875,0.5,0.6541666666666667
EMP0193,Medium,43,Average,4,5,No Change,0.5375,0.375,0.5,0.4708333333333334
EMP0194,Medium,23,Average,5,2,Decrease,0.28750000000000003,0.875,1.0,0.7208333333333333
EMP0195,Medium,29,Good,4,1,No Change,0.11250000000000004,0.875,0.5,0.49583333333333335
EMP0196,Medium,47,Poor,5,2,Decrease,0.8375,0.875,1.0,0.9041666666666667
EMP0197,Low,46,Good,3,1,Increase,0.32500000000000007,0.75,0.0,0.3583333333333334
EMP0198,Low,40,Average,1,1,Decrease,0.5,0.5,1.0,0.6666666666666666
EMP0199,High,47,Poor,1,4,Decrease,0.8375,0.125,1.0,0.6541666666666667
EMP0200,High,53,Average,2,3,Decrease,0.6625000000000001,0.375,1.0,0.6791666666666667
EMP0201,Medium,55,Average,4,4,Increase,0.6875,0.5,0.0,0.3958333333333333
EMP0202,Medium,40,Good,2,2,Decrease,0.25,0.5,1.0,0.5833333333333334
EMP0203,Low,28,Poor,2,5,Decrease,0.6000000000000001,0.125,1.0,0.5750000000000001
EMP0204,Low,39,Good,3,3,No Change,0.23750000000000004,0.5,0.5,0.41250000000000003
EMP0205,Medium,41,Good,4,5,No Change,0.26250000000000007,0.375,0.5,0.3791666666666667
EMP0206,Low,21,Poor,4,5,Increase,0.5125,0.375,0.0,0.29583333333333334
EMP0207,Low,34,Good,2,3,No Change,0.17500000000000004,0.375,0.5,0.35000000000000003
EMP0208,Low,36,Good,5,3,Decrease,0.2,0.75,1.0,0.65
EMP0209,High,32,Average,1,4,Decrease,0.4,0.125,1.0,0.5083333333333333
EMP0210,Medium,21,Average,3,2,No Change,0.2625,0.625,0.5,0.46249999999999997
EMP0211,High,56,Poor,1,5,No Change,0.9500000000000001,0.0,0.5,0.4833333333333334
EMP0212,Low,58,Poor,2,4,No Change,0.9750000000000001,0.25,0.5,0.5750000000000001
EMP0213,High,35,Good,2,1,No Change,0.1875,0.625,0.5,0.4375
EMP0214,Low,52,Good,4,1,Decrease,0.4,0.875,1.0,0.7583333333333333
EMP0215,Low,33,Average,3,1,Increase,0.41250000000000003,0.75,0.0,0.3875
EMP0216,Medium,47,Good,1,2,Decrease,0.3375,0.375,1.0,0.5708333333333333
EMP0217,Medium,56,Poor,4,3,Increase,0.9500000000000001,0.625,0.0,0.525
EMP0218,Low,33,Average,2,2,Increase,0.41250000000000003,0.5,0.0,0.3041666666666667
EMP0219,Low,60,Average,1,3,No Change,0.75,0.25,0.5,0.5
EMP0220,Low,32,Good,2,4,No Change,0.15000000000000002,0.25,0.5,0.3
EMP0221,Medium,48,Good,1,5,Decrease,0.3500000000000001,0.0,1.0,0.45
EMP0222,High,39,Average,3,4,Increase,0.48750000000000004,0.375,0.0,0.28750000000000003
EMP0223,High,23,Good,5,3,No Change,0.03750000000000003,0.75,0.5,0.4291666666666667
EMP0224,High,38,Average,4,3,Decrease,0.47500000000000003,0.625,1.0,0.7000000000000001
EMP0225,Low,30,Average,2,1,Increase,0.375,0.625,0.0,0.3333333333333333
EMP0226,Low,35,Good,3,1,Increase,0.1875,0.75,0.0,0.3125
EMP0227,Medium,22,Average,4,5,Increase,0.275,0.375,0.0,0.21666666666666667
EMP0228,Medium,28,Poor,3,2,Increase,0.6000000000000001,0.625,0.0,0.4083333333333334
EMP0229,Medium,57,Good,3,3,Decrease,0.4625,0.5,1.0,0.6541666666666667
EMP0230,Low,48,Good,3,2,Decrease,0.3500000000000001,0.625,1.0,0.6583333333333333
EMP0231,Medium,45,Average,5,1,No Change,0.5625,1.0,0.5,0.6875
EMP0232,Low,34,Poor,3,4,Decrease,0.675,0.375,1.0,0.6833333333333332
EMP0233,Low,59,Poor,1,5,Decrease,0.9875,0.0,1.0,0.6625
EMP0234,High,31,Average,3,3,Increase,0.3875,0.5,0.0,0.29583333333333334
EMP0235,Low,55,Poor,2,4,No Change,0.9375,0.25,0.5,0.5625
EMP0236,Low,23,Average,4,2,No Change,0.28750000000000003,0.75,0.5,0.5125000000000001
EMP0237,Medium,51,Average,2,1,Decrease,0.6375000000000001,0.625,1.0,0.7541666666666668
EMP0238,Medium,32,Average,1,5,No Change,0.4,0.0,0.5,0.3
EMP0239,Low,41,Good,4,5,Increase,0.26250000000000007,0.375,0.0,0.21250000000000002
EMP0240,Low,46,Poor,1,1,No Change,0.8250000000000001,0.5,0.5,0.6083333333333334
EMP0241,High,58,Poor,3,4,No Change,0.9750000000000001,0.375,0.5,0.6166666666666667
EMP0242,High,59,Poor,3,2,Increase,0.9875,0.625,0.0,0.5375
EMP0243,Medium,40,Good,5,1,Decrease,0.25,1.0,1.0,0.75
EMP0244,High,56,Poor,1,2,Decrease,0.9500000000000001,0.375,1.0,0.775
EMP0245,High,47,Poor,1,2,No Change,0.8375,0.375,0.5,0.5708333333333333
EMP0246,Low,38,Good,2,2,Increase,0.22500000000000003,0.5,0.0,0.2416666666666667
EMP0247,Low,59,Average,3,5,Increase,0.7375,0.25,0.0,0.32916666666666666
EMP0248,Medium,47,Poor,2,1,Increase,0.8375,0.625,0.0,0.4875
EMP0249,Medium,49,Average,5,3,Decrease,0.6125,0.75,1.0,0.7875
EMP0250,Low,20,Poor,4,5,No Change,0.5,0.375,0.5,0.4583333333333333
EMP0251,High,50,Good,2,1,Increase,0.375,0.625,0.0,0.3333333333333333
EMP0252,High,32,Good,3,4,No Change,0.15000000000000002,0.375,0.5,0.3416666666666666
EMP0253,Low,23,Average,3,3,Increase,0.28750000000000003,0.5,0.0,0.2625
EMP0254,Medium,22,Average,3,3,Increase,0.275,0.5,0.0,0.25833333333333336
EMP0255,Medium,33,Good,2,5,Decrease,0.16250000000000003,0.125,1.0,0.4291666666666667
EMP0256,Medium,32,Average,5,3,Decrease,0.4,0.75,1.0,0.7166666666666667
EMP0257,Medium,51,Average,2,1,Increase,0.6375000000000001,0.625,0.0,0.4208333333333334
EMP0258,Medium,49,Poor,3,3,Decrease,0.8625,0.5,1.0,0.7875
EMP0259,Medium,30,Average,1,1,No Change,0.375,0.5,0.5,0.4583333333333333
EMP0260,Medium,25,Average,2,2,Increase,0.3125,0.5,0.0,0.2708333333333333
EMP0261,High,40,Poor,3,4,Increase,0.75,0.375,0.0,0.375
EMP0262,Low,32,Good,1,1,No Change,0.15000000000000002,0.5,0.5,0.3833333333333333
EMP0263,Medium,20,Average,1,3,No Change,0.25,0.25,0.5,0.3333333333333333
EMP0264,Medium,35,Poor,3,5,Decrease,0.6875,0.25,1.0,0.6458333333333334
EMP0265,Medium,49,Average,4,1,No Change,0.6125,0.875,0.5,0.6625
EMP0266,Medium,34,Good,3,4,No Change,0.17500000000000004,0.375,0.5,0.35000000000000003
EMP0267,Medium,58,Average,3,3,Decrease,0.7250000000000001,0.5,1.0,0.7416666666666667
EMP0268,Medium,26,Average,5,4,Decrease,0.325,0.625,1.0,0.65
EMP0269,Medium,36,Poor,3,4,Increase,0.7,0.375,0.0,0.35833333333333334
EMP0270,High,48,Average,5,4,Increase,0.6000000000000001,0.625,0.0,0.4083333333333334
EMP0271,High,57,Good,5,4,Increase,0.4625,0.625,0.0,0.3625
EMP0272,Medium,32,Poor,3,2,No Change,0.65,0.625,0.5,0.5916666666666667
EMP0273,Medium,55,Poor,1,4,Decrease,0.9375,0.125,1.0,0.6875
EMP0274,High,28,Good,3,3,Decrease,0.10000000000000003,0.5,1.0,0.5333333333333333
EMP0275,Low,53,Poor,2,2,Decrease,0.9125000000000001,0.5,1.0,0.8041666666666667
EMP0276,Low,36,Good,4,4,No Change,0.2,0.5,0.5,0.39999999999999997
EMP0277,High,54,Average,4,4,Decrease,0.675,0.5,1.0,0.725
EMP0278,Low,33,Poor,4,3,Increase,0.6625000000000001,0.625,0.0,0.4291666666666667
EMP0279,Medium,39,Poor,2,4,Decrease,0.7375,0.25,1.0,0.6625
EMP0280,Medium,33,Good,4,1,No Change,0.16250000000000003,0.875,0.5,0.5125000000000001
EMP0281,Low,48,Average,3,1,No Change,0.6000000000000001,0.75,0.5,0.6166666666666667
EMP0282,Medium,60,Average,3,5,No Change,0.75,0.25,0.5,0.5
EMP0283,Medium,24,Good,5,1,Decrease,0.050000000000000044,1.0,1.0,0.6833333333333332
EMP0284,High,28,Average,1,5,Increase,0.35000000000000003,0.0,0.0,0.11666666666666668
EMP0285,Low,20,Poor,2,2,Decrease,0.5,0.5,1.0,0.6666666666666666
EMP0286,Medium,28,Good,1,4,Decrease,0.10000000000000003,0.125,1.0,0.4083333333333334
EMP0287,Medium,48,Good,5,4,Increase,0.3500000000000001,0.625,0.0,0.325
EMP0288,High,51,Good,3,2,Decrease,0.38750000000000007,0.625,1.0,0.6708333333333334
EMP0289,Low,39,Poor,5,4,Decrease,0.7375,0.625,1.0,0.7875
EMP0290,Medium,25,Poor,1,4,No Change,0.5625,0.125,0.5,0.3958333333333333
EMP0291,High,53,Average,4,1,Decrease,0.6625000000000001,0.875,1.0,0.8458333333333333
EMP0292,High,44,Average,4,4,Decrease,0.55,0.5,1.0,0.6833333333333332
EMP0293,Medium,31,Poor,4,3,Increase,0.6375,0.625,0.0,0.42083333333333334
EMP0294,Low,58,Average,3,5,Decrease,0.7250000000000001,0.25,1.0,0.6583333333333333
EMP0295,Low,26,Average,5,4,Decrease,0.325,0.625,1.0,0.65
EMP0296,Low,20,Good,2,3,Decrease,0.0,0.375,1.0,0.4583333333333333
EMP0297,Low,28,Poor,1,3,No Change,0.6000000000000001,0.25,0.5,0.45
EMP0298,Medium,35,Average,5,5,No Change,0.4375,0.5,0.5,0.4791666666666667
EMP0299,Low,30,Good,4,2,Decrease,0.125,0.75,1.0,0.625
EMP0300,Low,28,Poor,3,1,Decrease,0.6000000000000001,0.75,1.0,0.7833333333333333
EMP0301,Medium,21,Average,5,3,Decrease,0.2625,0.75,1.0,0.6708333333333334
EMP0302,Medium,56,Poor,4,2,Decrease,0.9500000000000001,0.75,1.0,0.9
EMP0303,High,25,Good,3,3,Increase,0.0625,0.5,0.0,0.1875
EMP0304,High,21,Average,2,1,No Change,0.2625,0.625,0.5,0.46249999999999997
EMP0305,Medium,50,Average,5,4,Decrease,0.625,0.625,1.0,0.75
EMP0306,High,50,Good,2,5,No Change,0.375,0.125,0.5,0.3333333333333333
